Full Response,Time Started(PT),Progress,Bullet Summary,Tagline,Quality score,Which of the following best describes your household?,Which of these activities has your child participated in during the past 12 months?,Which of the following challenges has your child experienced? Select all that apply.,Tell me about the last time your child attended a therapy or counseling session. What was it like?,What made you decide to seek therapy or support for your child in the first place?,What has been the most frustrating part of finding and maintaining the right therapy for your child?,"If your child has been in group therapy, think back to a specific session. How engaged was your child? What did they tell you about it afterwards?",What would an ideal group therapy session look like for your child?,How important are each of the following in a group therapy program for your child?,What's your initial reaction to that idea?,How comfortable would you be with your child participating in a session like this?,What would need to be true for you to feel fully comfortable with this kind of program?,"What concerns, if any, do you have about AI being involved in your child's therapy?",How would you feel about your child attending group therapy via video call rather than in person?,"If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?",What would make you choose this over your child's current therapy arrangement?,Tags,Other Remarks,Country,Gender,Ethnicity,Age,Year of birth of youngest child,short transcript
#95,"6/2, 10:52 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in tutoring or academic support, religious or community programs, sports or physical activities, and art or music classes in the past year.",Engaged Parent of Elementary-Age Kids,2,I have children between 6 and 12 years old,"Tutoring or academic support, Religious or community programs, Sports or physical activities, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,Black,39,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Tutoring or academic support, Religious or community programs, Sports or physical activities, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#96,"6/2, 10:53 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Black,26,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#97,"6/2, 10:53 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,White,52,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#98,"6/2, 10:53 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Mixed,33,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#99,"6/2, 10:53 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Black,51,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#100,"6/2, 10:53 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Man,White,58,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#101,"6/2, 10:54 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,52,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#102,"6/2, 10:54 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,28,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#103,"6/2, 10:53 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,69,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#104,"6/2, 10:53 AM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,White,58,,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#105,"6/2, 10:53 AM",Screened Out,"- I have children aged 6–12.
- My child participated in art or music classes in the past year.
- My child did sports or physical activities in the past year.
- My child received tutoring or academic support in the past year.",Parent of 6–12-year-olds into activities,2,I have children between 6 and 12 years old,"Art or music classes, Sports or physical activities, Tutoring or academic support",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Black,33,,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Sports or physical activities, Tutoring or academic support
• Thank you for your time, you did not meet the research criteria for this study! → "
#106,"6/2, 10:53 AM",Screened Out,- I have children under 6 years old.,Parent of young children,2,I have children under 6 years old,,,,,,,,,,,,,,,,"Parent, Children under 6",,United States,Man,Black,31,,"• Which of the following best describes your household? → I have children under 6 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#107,"6/2, 10:54 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Woman,Asian,39,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#108,"6/2, 10:55 AM",Screened Out,- ,,1,I do not have children,,,,,,,,,,,,,,,,unknown,,United States,Man,White,31,,"• Which of the following best describes your household? → I do not have children
• Thank you for your time, you did not meet the research criteria for this study! → "
#109,"6/2, 11:02 AM",Screened Out,"- I have children between 6 and 12.
- My child participated in art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,Art or music classes,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,42,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#110,"6/2, 11:03 AM",Complete,"- I have an autistic 11-year-old struggling with emotional regulation, focus, and negative self-talk.
- Therapy helps her feel happier and learn coping mechanisms; she prefers to keep session details private.
- We sought therapy after school issues and suicidal statements; immediate access was difficult due to waitlists.
- We reached help by calling emergency services, which connected us to a local provider.
- I don’t trust AI in mental health; I worry about data breaches and AI missing distress cues; small groups and video could help if human-led.",Protective parent insists on human-led care,5,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes, Therapy or counseling","Shyness or social anxiety, Low self-confidence or self-esteem, Emotional regulation challenges, Behavioral issues at school","It was good and something she really needed. My 11-year-old, who is autistic, has trouble with emotional regulation, staying calm, and maintaining focus, and therapy helps her feel better about herself and counter negative self-talk. After sessions she’s usually happier and more active; she keeps some details private but says she’s learning coping mechanisms. The last session helped her maintain control and feel more confident.","She was having a lot of issues at school, lashing out and attacking other students. And also, unfortunately, she had mentioned that she does not want to be alive anymore.","Getting her immediate help was the hardest part because most places had long wait times. After she said she didn’t want to live anymore—even if she didn’t fully understand it—we needed urgent support and that was hard to find. We called emergency services, who connected us to a local company.","She’s only done individual therapy because we felt group therapy wouldn’t help her as much and preferred one-on-one. I worry a group wouldn’t give her enough attention and she might feel embarrassed and hold back. If everyone in the group, not just the counselor, offered reassurance, that could help her open up since she’s honest but very shy.","I think it would need to be a small group, nothing with a lot of people, and one that specifically focused on the issues of self-confidence, self-doubts, negative self-talk, feelings of suicide, just in a smaller group so everyone in there can get the attention they need.",Therapist gives individual attention: Critical | Sessions are engaging and fun for the child: Somewhat important | Consistent session structure: Critical | Progress is tracked and shared with parents: Very important | Every child gets equal opportunity to participate: Critical | Affordable cost: Somewhat important,"I don’t like it. Using AI in mental health loses human touch, and AI often gets things wrong. I worry it would misrepresent things, mishandle scheduling, and fail to account for each individual child. I use AI as a tool at work, but not for medical or mental health.",Very uncomfortable,"I would need anything AI in that kind of context strictly only used for scheduling, and then any of that scheduling has to be confirmed by a real person, not just relied solely on the AI. So it's used as a tool and not as a crutch.",I worry about data being stored with AI and potential breaches. I also fear AI won’t recognize when my child is shutting down or distressed; I need a human for that and don’t want AI involved in those moments.,I’m fine with video group therapy as long as it’s a small group. It might make it easier for her because she can ignore other kids if she needs to.,Definitely would not try it,I don't really think anything. I just don't trust AI in any medical or health-related field.,"Parent of 11-year-old, Child is autistic",I gave my child the option to have me present in individual sessions or to meet alone with the therapist.,United States,Man,White,45,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes, Therapy or counseling
• Which of the following challenges has your child experienced? Select all that apply. → Shyness or social anxiety, Low self-confidence or self-esteem, Emotional regulation challenges, Behavioral issues at school
• Tell me about the last time your child attended a therapy or counseling session. What was it like?
 → It was good. It was something that they really needed to have done. My oldest, particularly 11 years old, has been having a lot of trouble with emotional regulations, a lot of trouble keeping calm, maintaining focus. She's autistic, so it really helps. And it helps her feel good about herself because she has a lot of negative self-thoughts. And her typical therapy session, like the last one, really helped her try to maintain control.
• The negative self-thoughts you mentioned — when she leaves a session feeling better about herself, what does that look like at home? Do you notice a difference in her?
 → Usually it means that she is much happier, active. She doesn't— she likes to not tell us everything that goes on in therapy so she can keep that to herself, but she does tell us that she feels happy that she's learning new coping mechanisms.
• It sounds like those coping mechanisms are giving her something real to hold onto. What made you decide to seek therapy or support for her in the first place?
 → She was having a lot of issues at school, lashing out and attacking other students. And also, unfortunately, she had mentioned that she does not want to be alive anymore.
• That must have been a terrifying moment to hear from your child. What has been the most frustrating part of finding and maintaining the right therapy for her since then?
 → And really the hardest part was getting her immediate help. Most places had long wait times. Uh, hearing that she didn't want to live anymore, I know she didn't fully understand what it meant, but we needed immediate help and that was hard to find.
• That gap between urgency and availability is one of the hardest things a parent can face. When you finally did find help, was it through a specific type of program, or did you have to piece things together?

 → We had called emergency services when she mentioned that she wanted to die. We knew that she didn't know exactly what that meant, but we knew immediate action had to be taken, so we called an emergency service who put us in touch with a local company.
• It took a crisis to unlock the door — that's such a broken part of the system. Has your daughter ever participated in group therapy, or has it been individual sessions?
 → It's always been individual. We didn't feel that a group therapy would help her. We wanted more one-on-one. We did give also her the option whether she wanted us there with her or if she wanted to do it by herself with her therapist.
• Given that you went with individual sessions, I'm curious — if you imagine your daughter in a group therapy setting, what concerns would come up for you? Especially thinking about whether a quieter or more overwhelmed child would actually get the attention they need.
 → I do worry that they would get not enough attention that they need to help their issues. I do also get nervous that she would feel embarrassed and not really tell everything that was going on.
• The embarrassment piece is interesting — feeling like she has to hold back in front of peers. What would need to be different about a group setting for you to feel like she'd actually open up and get what she needs?

 → I think as long as she was getting a lot of assurance from everyone in the group, not just from the counselor, I think that would go a long way to have her really open up about her anxieties and fears in a group setting. She's a very honest person but very shy.
• That combination — honest but shy — really paints a picture of her. What would an ideal group therapy session look like for your child?

 → I think it would need to be a small group, nothing with a lot of people, and one that specifically focused on the issues of self-confidence, self-doubts, negative self-talk, feelings of suicide, just in a smaller group so everyone in there can get the attention they need.
• Small group, focused on the exact things she's struggling with — that makes a lot of sense for her. How important are each of the following in a group therapy program for your child?

 → Every child gets equal opportunity to participate: Critical | Progress is tracked and shared with parents: Very important | Therapist gives individual attention: Critical | Consistent session structure: Critical | Affordable cost: Somewhat important | Sessions are engaging and fun for the child: Somewhat important
• I'd like to share an idea with you. Imagine a group therapy program for children where a licensed therapist leads every session, but is supported by an AI assistant. The AI helps manage the session — for example, making sure every child gets a turn to speak, guiding structured activities like storytelling or role-playing, and gently encouraging quieter children to participate. The therapist remains fully in control and can step in at any time. The AI simply helps the session run more smoothly and inclusively. → Continue
• What's your initial reaction to that idea?
 → I don't really like that idea. I think anything that is using AI, particularly for mental health needs, is losing some of that human touch. And AI can only do so much. It's only being told— it can only do what it's been told or what it's learned. And there are so many times I see AI get things wrong.
• The ""getting things wrong"" part — can you say more about what that would look like in this context? What's the kind of mistake you'd be most worried about an AI making in a room full of vulnerable kids?

 → I'm afraid that it would misrepresent things, not schedule things enough, really not take into account each individual child, even if it's been told to or programmed to. It just, I'm not confident in AI enough. And it is something that I use as a tool at work, but for medical and mental health reasons, I don't think it's a great idea.
• You draw a clear line between AI as a work tool and AI in something as sensitive as your daughter's mental health — that distinction makes a lot of sense given what's at stake for her. How comfortable would you be with your child participating in a session like this?

 → Very uncomfortable
• What would need to be true for you to feel fully comfortable with this kind of program?

 → I would need anything AI in that kind of context strictly only used for scheduling, and then any of that scheduling has to be confirmed by a real person, not just relied solely on the AI. So it's used as a tool and not as a crutch.
• So AI strictly in the background, with a human always verifying — keeping it out of the actual therapeutic conversation entirely. What concerns, if any, do you have about AI being involved in your child's therapy?

 → I would worry about information stored with the AI and data breaches.
• Privacy is a real concern, especially with something as sensitive as mental health records. Beyond data security, do you worry at all about the AI missing emotional cues in the moment — like not recognizing when a child is shutting down or getting distressed?

 → I would. AI is not trained well enough to recognize those things. I need an actual human there to recognize when my child is shutting down or distressed. I don't want AI involved with that at all.
• Given everything you've shared about your daughter — her shyness, the emotional intensity of what she's working through — how would you feel about her attending group therapy via video call rather than in person?

 → I mean, I think that's fine as long as it's a small group, like I said.
• Does the video format feel like it would make it easier or harder for her to open up, compared to being in a room with other kids?
 → I think that might make it easier for her because she can also ignore the other kids in the room if she needs to.
• That's an interesting angle — the screen as a kind of buffer. If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?

 → Definitely would not try it
• What would make you choose this over your child's current therapy arrangement?
 → I don't really think anything. I just don't trust AI in any medical or health-related field."
